idx,acidez,amargor,aroma,astringencia,dulce,dureza,velocidad_fusion
PNM146,,,5.0,,5.5,3.5,4.0
PNM166,2.0,6.0,,3.0,2.0,5.0,6.0
PNM140,,,6.0,,6.0,4.5,2.0
PNM3,0.5,,4.5,,,,
PNM35,0.0,3.0,5.0,1.0,5.0,,5.0
PNM159,,3.0,5.0,1.0,4.0,,
PNM179,,,4.5,,4.0,5.0,4.5
PNM150,2.0,6.0,5.0,,2.0,,5.0
PNM77,,,5.0,,4.5,4.0,4.0
PNM18,0.0,3.0,5.0,1.0,2.0,,5.0
PNM21,2.0,5.5,5.0,2.0,2.0,,5.5
PNM36,,,4.5,,4.0,5.0,4.5
PNM194,1.0,4.5,5.0,2.0,2.5,,5.5
PNM63,1.0,,5.0,1.5,2.5,,5.5
PNM72,1.0,4.0,5.0,2.0,2.5,,5.5
PNM165,,,5.0,,4.0,4.0,5.0
PNM217,,,4.5,,4.0,4.0,6.0
PNM19,0.0,5.0,6.0,1.0,2.0,,5.0
PNM49,,,5.0,,3.0,1.0,3.0
PNM16,0.5,2.0,5.0,0.5,3.5,,5.0
PNM169,,,4.5,,4.0,4.0,6.0
PNM188,0.0,7.0,,3.0,,4.0,4.0
PNM2,,,5.0,,4.5,4.0,3.0
PNM205,0.0,3.0,5.0,0.0,1.0,,5.0
PNM183,1.0,4.5,,2.5,3.0,4.0,5.5
PNM24,,,5.0,,4.0,3.0,4.0
PNM167,1.0,5.0,,2.0,4.0,4.0,6.0
PNM177,0.0,4.5,5.0,1.0,2.0,,5.0
PNM104,0.0,4.0,5.0,1.0,5.5,,5.0
PNM190,,,5.0,,6.0,4.0,5.0
PNM195,2.0,5.0,,2.0,3.5,,5.0
PNM8,0.0,3.0,4.5,1.0,4.0,,2.0
PNM122,0.5,4.5,5.0,0.5,4.0,,3.5
PNM23,,,5.0,,4.5,5.0,3.0
PNM1,,,5.0,,3.0,0.0,5.0
PNM38,,,4.5,,4.5,2.0,4.0
PNM192,2.0,6.0,5.0,2.0,2.0,,5.0
PNM111,,,4.5,,2.0,4.0,3.0
PNM95,,,4.5,,4.0,2.0,5.5
PNM11,0.0,3.5,5.0,1.0,4.0,,5.0
PNM14,0.0,4.0,5.0,1.0,3.5,,5.0
PNM170,1.0,4.5,,2.0,4.0,5.0,6.0
PNM28,3.0,3.0,2.0,1.0,,,
PNM125,,,5.0,,4.5,4.0,5.0
PNM162,0.0,3.0,5.0,0.0,1.0,,5.0
PNM15,0.5,2.0,,0.5,,,
PNM70,,,4.5,,5.5,4.0,3.5
PNM93,1.5,4.0,5.0,1.0,4.0,,5.5
PNM34,0.0,4.5,5.0,0.5,4.0,,4.5
PNM160,1.5,4.0,5.0,1.0,4.0,,5.5
PNM59,1.0,4.0,5.0,2.0,2.5,,5.5
PNM82,,,5.0,,5.0,4.0,4.0
PNM163,,,5.0,,6.0,4.0,6.0
PNM128,,,5.0,,5.5,5.0,3.0
PNM180,0.0,4.5,5.0,1.0,2.0,,5.0
PNM66,0.5,2.0,4.5,0.5,2.0,,4.0
PNM184,,,4.0,,,3.5,5.5
PNM106,,,4.0,,5.5,3.5,5.0
PNM12,1.0,3.5,5.0,1.0,4.0,,
PNM151,0.0,4.5,5.0,0.5,4.0,,4.5
PNM206,,,4.0,,5.5,3.5,5.0
PNM174,0.0,4.5,5.0,0.5,4.0,,4.5
PNM33,0.0,4.0,5.0,1.0,3.0,,4.5
PNM107,0.0,3.0,5.0,0.0,1.0,,5.0
PNM154,,,5.0,,5.0,3.5,2.0
PNM20,2.0,6.0,5.0,2.5,1.5,,5.5
PNM115,1.0,4.0,5.0,1.5,3.0,,4.0
PNM117,,,5.0,,5.5,3.5,5.0
PNM136,,,5.0,,6.0,4.0,5.0
PNM80,,,5.0,,3.0,4.0,5.0
PNM129,,,5.0,,5.5,5.0,3.0
PNM175,0.0,4.0,5.0,1.0,3.0,,4.5
PNM193,1.0,4.5,5.0,2.0,2.5,,5.5
PNM27,0.0,5.0,6.0,1.0,2.0,,5.0
PNM145,0.0,,3.0,,5.0,2.0,5.5
PNM97,1.5,5.0,5.0,2.0,3.5,,5.5
PNM131,,,5.0,,5.5,5.0,3.0
PNM96,2.0,5.5,5.0,2.0,2.0,,5.5
PNM67,,,5.0,,5.0,4.0,3.0
PNM132,,,5.5,,4.5,3.5,3.0
PNM178,1.5,4.0,5.0,1.0,4.0,,5.5
PNM51,,,5.0,,4.0,3.0,4.0
PNM113,0.0,3.0,5.0,1.0,2.0,,4.0
PNM168,0.0,3.0,5.0,1.0,2.0,,5.0
PNM130,,,5.0,,5.5,5.0,3.0
PNM156,,,6.0,,5.0,5.0,7.0
PNM124,0.0,1.0,5.0,0.0,5.0,,5.0
PNM65,,,4.5,,4.0,3.5,4.0
PNM83,,1.5,6.0,,2.5,,
PNM64,0.0,4.5,5.0,1.0,2.0,,5.0
PNM76,,,5.0,,,2.0,3.0
PNM207,,,5.0,,6.0,4.0,5.0
PNM7,,,5.0,,2.0,2.0,2.0
