number,value,state
0,49.19968879486272,COMPLETE
1,45.883183384749074,COMPLETE
2,54.08919589400316,COMPLETE
3,68.94489076782197,COMPLETE
4,50.92345179785922,COMPLETE
5,46.92557628046343,COMPLETE
6,52.25135088020464,COMPLETE
7,68.39749586240941,COMPLETE
8,51.21388445174121,COMPLETE
9,50.406357018842456,COMPLETE
10,47.25149605595111,COMPLETE
11,54.279999002562796,COMPLETE
12,76.87588754445115,COMPLETE
13,47.92025973197705,COMPLETE
14,53.76802959249545,COMPLETE
15,49.82408176606029,COMPLETE
16,48.85759521327018,PRUNED
17,47.21372300917881,COMPLETE
18,49.43227359133763,COMPLETE
19,48.90934123371274,COMPLETE
20,47.63334801994902,COMPLETE
21,47.43314021943021,COMPLETE
22,47.65341103198476,PRUNED
23,46.78918429301009,PRUNED
24,45.97620977164972,COMPLETE
25,45.44913839624464,COMPLETE
26,49.20997123282522,COMPLETE
27,54.037501531352085,PRUNED
28,45.72606206054197,COMPLETE
29,57.54989132440751,PRUNED
30,45.415773253510096,COMPLETE
31,45.34804389861603,COMPLETE
32,45.6607384012475,COMPLETE
33,45.07994952287464,COMPLETE
34,47.00378320435132,COMPLETE
35,44.480828131603204,COMPLETE
36,45.09327741171381,COMPLETE
37,46.69054580397184,COMPLETE
38,60.56211873013906,PRUNED
39,45.82985469009374,COMPLETE
40,46.845804614759814,COMPLETE
41,45.055208217782614,COMPLETE
42,44.34967584446558,COMPLETE
43,44.66718660966249,COMPLETE
44,44.40351250779198,COMPLETE
45,44.682423020617826,COMPLETE
46,45.0213549414759,COMPLETE
47,44.82873370926143,COMPLETE
48,48.07858786906064,PRUNED
49,41.40300509087563,COMPLETE
50,44.32842245813994,PRUNED
51,50.01438748266156,PRUNED
52,44.28855125097415,COMPLETE
53,42.55489328071444,COMPLETE
54,42.32813709732666,COMPLETE
55,44.88021284888483,COMPLETE
56,42.1896918169099,COMPLETE
57,42.37933407859879,COMPLETE
58,42.61613222297436,COMPLETE
59,42.86021812553213,COMPLETE
60,40.52439603700478,COMPLETE
61,43.484544026069145,COMPLETE
62,40.957005720325455,COMPLETE
63,40.330513378139436,COMPLETE
64,40.17678003316409,COMPLETE
65,40.26324818736299,COMPLETE
66,40.86070695174007,COMPLETE
67,40.16729095946645,COMPLETE
68,40.7732783889733,COMPLETE
69,47.92068277931338,PRUNED
70,47.529893562189486,PRUNED
71,41.171605502281665,COMPLETE
72,40.75957297727485,COMPLETE
73,41.01365174454076,COMPLETE
74,40.50645110226695,COMPLETE
75,40.63160632232685,COMPLETE
76,41.208584517295144,COMPLETE
77,43.89068606986223,COMPLETE
78,44.269755711241615,COMPLETE
79,40.741551741870595,COMPLETE
80,41.94225653016945,COMPLETE
81,44.4986284181506,COMPLETE
82,48.87098474767862,PRUNED
83,41.18622458600395,COMPLETE
84,39.89496005916773,COMPLETE
85,43.62600484816656,COMPLETE
86,40.13951051669541,COMPLETE
87,40.68562715617987,COMPLETE
88,43.890473168774655,COMPLETE
89,40.21479664764123,COMPLETE
90,48.800964629696914,PRUNED
91,43.64713361068336,COMPLETE
92,40.15892731912184,COMPLETE
93,41.22793291499341,COMPLETE
94,40.72803895726599,COMPLETE
95,40.14571014913456,COMPLETE
96,40.994581822273304,COMPLETE
97,43.68586583076145,COMPLETE
98,40.78407244981161,COMPLETE
99,40.248622626338275,COMPLETE
100,40.114968865376525,COMPLETE
101,40.866865393428974,COMPLETE
102,40.835366226262714,COMPLETE
103,41.19723242147422,COMPLETE
104,40.82324546921109,COMPLETE
105,40.20208559413377,COMPLETE
106,40.889961385544886,COMPLETE
107,40.42210194029495,COMPLETE
108,43.98196177385934,COMPLETE
109,40.06981412507302,COMPLETE
110,40.2186504427378,COMPLETE
111,41.04083173870931,COMPLETE
112,40.67762867863394,COMPLETE
113,40.49723279252609,COMPLETE
114,47.90968220160869,PRUNED
115,40.42630060157835,COMPLETE
116,48.846552188213785,PRUNED
117,39.88188546569633,COMPLETE
118,40.515952594396545,COMPLETE
119,41.21720917057955,COMPLETE
