M,aitchison_mean,aitchison_std,l2_mean,l2_std,time_seconds,n_samples,folds
10,50.95431989361893,7.165953855603765,0.5047833401906023,0.21954635183562626,38.724253899999894,93,10
20,50.24499238170345,7.340784331107953,0.4895713367146074,0.26432771759336826,43.453503800032195,93,10
30,49.81186886492575,7.6125124302622345,0.48870123508934504,0.2865728664302255,52.46408629999496,93,10
40,49.53115024557517,7.742330033920122,0.48774479599916465,0.2803318911214937,59.65110939997248,93,10
50,49.40103339167348,7.769717840573902,0.47526955208599847,0.28727333626171947,63.04217719996814,93,10
60,49.450016721353265,7.744832132693263,0.4636684367705497,0.2792294186665582,75.0287753000157,93,10
70,49.619968883111994,7.8835618377358,0.44383122970330463,0.27856277409878494,101.30286649998743,93,10
80,49.74947913894666,7.997927599475816,0.4501968945789103,0.27863416741668023,153.16083960002288,93,10
90,49.71563882864125,7.96984387240464,0.44949305100012926,0.2819745735485742,155.1499864999787,93,10
93,49.71563882864125,7.96984387240464,0.44949305100012926,0.2819745735485742,166.16633729997557,93,10
