,132,135,154,155,160,179
D01211557,6.5,6.0,7.0,4.5,2.0,4.5
D01220257,5.5,6.0,6.0,5.0,5.0,5.5
D01220258,6.0,6.0,6.0,5.0,3.0,5.5
D01220924,8.0,6.0,6.0,6.0,5.0,4.0
D01220946,6.0,6.0,5.0,5.0,3.5,6.0
D01220947,6.0,6.0,6.0,6.0,3.0,5.0
D01220948,6.0,6.0,6.0,6.0,2.0,4.5
D01221083,6.0,7.0,6.0,5.5,4.0,5.0
D01221084,6.0,5.5,7.0,5.0,4.0,4.5
D01221085,5.5,6.0,6.0,4.0,2.5,5.0
D01221086,6.0,6.0,7.0,4.0,4.0,4.0
D01221088,5.0,6.0,6.0,5.0,3.5,4.5
D01221089,6.0,5.5,6.0,5.0,3.0,5.0
D01221090,6.0,6.0,6.0,4.5,3.0,5.0
D01221091,6.0,6.0,6.0,4.5,3.0,5.0
D01221092,6.0,6.0,7.0,5.0,3.0,5.0
D01221093,6.5,6.0,6.0,5.0,3.0,5.0
D01221094,6.0,6.5,6.0,4.0,2.0,4.5
D01221098,6.0,6.0,6.0,4.0,3.0,5.0
D01221100,6.0,6.0,6.0,4.5,4.0,4.5
D01221101,6.0,5.0,5.0,4.5,4.0,3.5
D01221103,6.0,6.0,4.0,4.0,3.5,4.5
D01221105,6.0,5.5,6.0,5.0,3.0,4.0
D01221107,5.5,6.0,6.0,4.0,4.0,4.5
D01221128,7.0,5.5,6.0,5.0,3.5,4.5
D01221129,7.0,6.0,7.0,5.0,3.0,5.0
D01221130,5.5,4.0,6.0,4.5,1.0,4.0
D01221139,5.5,6.0,6.0,4.0,2.0,4.5
D01221140,6.0,5.0,4.5,4.5,2.5,4.0
D01221670,6.0,6.0,6.0,6.0,3.0,4.5
D01221695,6.0,6.0,6.0,5.0,4.5,5.0
D01221784,6.0,6.5,7.0,4.5,5.0,5.0
D01221848,6.0,6.5,7.0,5.0,5.0,5.0
D01221946,5.0,6.5,6.0,5.0,4.0,4.5
D01221978,5.5,6.5,6.0,5.0,3.0,4.0
D01222041,6.0,6.0,5.0,6.0,2.5,5.0
D01222198,6.0,6.0,6.0,5.0,3.5,5.0
D01222283,5.5,6.0,6.0,5.0,3.0,3.0
D01222308,6.0,6.5,6.5,5.0,3.0,4.25
D01222310,6.0,5.5,5.0,5.0,4.0,2.0
D01222455,6.333333333333333,6.333333333333333,6.0,4.5,3.25,3.3333333333333335
D01222456,6.333333333333333,6.166666666666667,6.75,4.25,4.0,5.0
D01222457,6.5,6.0,6.0,4.0,3.5,3.0
D01222518,6.0,6.0,6.0,6.0,4.0,5.0
D01222520,5.5,6.0,6.0,5.0,4.0,4.0
D01222525,5.0,6.0,5.0,4.0,4.0,4.0
D01222526,6.0,6.5,6.0,5.0,4.0,5.0
D01222527,6.0,7.0,6.0,6.0,4.0,5.0
D01222528,5.0,6.0,6.0,5.0,3.5,4.0
D01222685,6.0,6.0,6.0,4.0,3.5,5.0
D01222878,6.0,6.0,6.0,4.0,3.0,5.0
D01230195,6.0,6.0,6.0,5.0,2.6666666666666665,6.0
D01230196,6.0,6.0,6.0,5.0,3.3333333333333335,6.0
D01230782,6.0,6.0,6.0,6.0,5.0,5.333333333333333
D01230783,6.0,6.0,6.0,5.5,3.25,6.0
D01230884,6.0,6.0,6.5,5.0,2.0,6.0
D01230886,6.0,6.0,6.5,5.0,2.0,5.0
D01240983,6.0,5.0,6.5,4.5,3.0,5.0
D01241097,6.0,5.0,6.0,4.0,4.0,5.0
D01241098,5.5,5.0,6.0,5.0,2.0,6.0
D01241468,6.0,6.0,6.5,5.0,4.0,6.0
D01241469,6.0,5.5,6.0,5.5,3.0,6.0
D01241470,5.5,6.0,6.0,4.0,4.0,6.0
D01241516,6.5,5.0,6.0,4.0,2.0,5.0
D01242205,6.0,6.0,6.0,4.0,4.5,6.0
D01242488,6.0,5.5,6.0,5.5,3.0,7.0
D01242630,5.5,5.0,6.5,5.25,5.0,5.0
D01242631,6.0,5.0,5.5,5.0,5.0,5.0
D02220126,5.5,6.0,6.0,4.0,3.0,3.5
D02220226,6.0,6.0,6.0,4.0,3.0,3.0
D02220227,6.0,6.0,6.0,4.0,3.0,4.5
D02220443,6.0,6.25,6.0,5.0,4.0,4.0
D02220463,6.0,6.0,5.0,4.0,3.0,4.0
D02220464,6.0,5.5,5.0,5.0,4.0,4.5
D02220465,5.5,6.0,5.5,5.0,4.0,4.0
D02220808,6.0,6.5,6.0,5.0,4.0,4.0
D02221005,6.0,6.0,6.0,5.0,5.0,5.5
D02221006,6.5,6.0,6.0,5.0,4.5,5.5
D02221007,6.0,6.0,6.0,5.0,5.0,5.5
D02221023,6.0,6.0,6.5,5.0,6.0,5.0
D02221079,6.0,5.5,6.0,4.5,4.0,4.0
D02221134,5.0,5.5,6.0,5.0,4.0,4.0
D02221135,5.5,6.0,6.5,5.0,3.5,4.0
D02221181,6.0,6.5,6.0,5.5,4.0,4.5
D02221182,6.0,6.5,7.0,5.0,6.5,4.0
D02221183,5.0,6.5,7.0,5.0,3.0,5.0
D02221187,6.0,5.5,5.5,4.5,3.5,4.5
D02221188,5.5,6.0,5.5,4.0,4.0,3.0
D02221509,5.5,5.5,5.5,4.5,2.5,4.0
D02221510,7.0,5.5,6.0,5.0,3.5,4.5
D02221511,6.0,5.5,6.0,4.5,2.0,5.0
D02221512,6.0,6.0,6.0,4.5,5.0,4.5
D02221513,6.0,6.0,6.0,4.5,4.0,4.5
D02221515,4.5,6.0,6.0,4.0,2.0,4.5
D02221516,5.0,6.0,6.0,5.0,3.0,4.5
D02221517,5.0,6.0,6.0,4.0,4.0,4.5
D02221518,6.0,6.5,7.0,5.0,4.0,5.0
D02221519,6.0,6.0,6.0,4.5,4.0,4.5
D02221522,6.0,6.0,7.0,5.0,2.0,5.0
D02221523,6.0,6.5,6.0,6.0,3.5,4.0
D02221524,6.0,6.0,7.0,5.0,2.0,4.0
D02221531,6.0,5.5,6.0,5.0,3.5,4.5
D02221532,6.0,6.5,6.0,5.0,5.0,5.0
D02221533,6.0,6.0,7.0,5.0,2.0,5.0
D02221719,6.0,6.5,7.0,5.0,3.0,6.0
D02221720,5.0,5.0,6.0,5.0,3.0,4.0
D02221721,5.0,6.5,7.0,5.5,3.5,5.0
D02221722,7.0,6.0,7.0,4.5,2.5,4.0
D02221743,5.5,5.5,6.0,5.0,4.5,4.0
D02221744,7.0,6.0,7.0,5.0,4.0,5.0
D02221745,5.0,6.5,6.0,5.0,3.0,4.0
D02221746,6.0,6.0,6.0,4.0,3.0,3.0
D02221747,6.0,6.0,7.0,4.0,3.0,4.0
D02221748,6.0,6.0,6.0,5.0,3.0,4.0
D02221765,7.0,6.0,7.0,5.0,3.0,4.0
D02221766,6.0,6.0,6.0,4.5,3.0,5.0
D02221774,8.0,7.0,7.0,5.0,3.0,5.0
D02221775,5.0,6.0,6.0,5.0,3.0,5.0
D02221776,5.0,6.0,6.5,5.0,3.0,4.0
D02221777,6.0,6.0,6.5,4.0,3.0,4.0
D02221778,6.0,5.5,6.0,5.0,3.0,4.0
D02221785,6.0,6.0,6.5,5.0,4.0,5.0
D02221786,6.0,6.0,7.0,5.0,4.0,4.0
D02221787,6.5,6.0,7.0,4.0,3.0,4.5
D02221788,7.0,5.5,7.0,3.0,3.0,5.0
D02221810,6.5,6.0,6.5,5.0,4.0,5.0
D02221811,6.0,6.0,6.5,5.0,5.0,4.0
D02221871,6.0,6.0,6.0,5.0,3.0,4.0
D02222044,6.0,5.5,6.0,5.0,5.0,3.0
D02222097,5.5,5.0,5.5,4.5,3.5,5.0
D02222098,6.5,5.0,6.0,5.0,5.0,5.0
D02222212,5.0,5.5,6.0,5.0,4.5,4.0
D02222213,6.0,6.0,6.0,4.0,3.0,4.0
D02222327,6.0,6.0,6.0,4.5,5.333333333333333,4.5
D02222328,5.5,6.25,6.0,5.0,4.5,5.0
D02222417,6.0,6.0,6.5,5.0,3.0,4.0
D02222467,5.5,6.0,5.0,5.0,3.5,3.0
D02222470,7.0,7.0,6.0,4.0,4.0,5.0
D02222471,6.0,6.0,6.5,4.0,3.0,6.0
D02222472,7.0,7.0,7.0,4.0,4.0,5.0
D02231516,6.0,6.0,6.5,4.5,2.0,5.0
D02231517,5.0,5.5,6.0,4.5,2.0,5.0
D02231518,5.0,5.5,6.0,5.5,2.0,5.0
D02231519,6.0,5.5,6.0,4.5,2.0,5.0
D02231520,5.0,6.0,6.0,5.0,3.0,5.0
D02231521,6.0,5.5,6.5,4.5,2.0,5.0
D02231522,6.0,5.5,5.5,5.0,2.0,4.5
D02231523,5.0,5.5,6.5,5.0,2.0,5.0
D02231524,5.5,6.0,6.0,5.0,2.0,5.0
D02231525,6.0,6.0,6.0,4.5,2.0,5.0
D02231639,5.0,6.0,6.0,5.0,1.5,5.5
D02231640,5.0,6.0,6.0,5.0,1.5,5.5
D02232675,5.5,6.0,6.0,7.0,2.0,6.0
D02232676,5.5,5.5,6.0,6.0,1.0,5.0
D02240213,6.0,6.0,6.0,5.0,4.0,5.0
D02240214,6.0,5.0,6.0,5.0,3.0,5.5
D02240215,6.0,5.0,6.0,5.0,3.0,5.0
D02240445,5.5,5.0,5.5,5.0,3.0,5.0
D02240798,6.0,6.0,6.0,4.0,3.0,4.0
D02241112,5.5,5.5,6.5,5.0,6.0,5.0
D02241846,5.5,5.5,6.0,4.0,3.0,5.0
D03211879,6.0,6.5,6.5,4.5,4.0,5.0
D03211884,6.0,6.0,6.0,5.0,1.0,4.0
D03211894,5.5,5.0,5.5,4.0,3.0,4.0
D03213077,5.5,6.0,6.5,5.0,3.5,5.0
D03213094,5.0,6.0,6.0,5.0,2.5,5.0
D03213114,6.5,5.5,6.5,5.0,2.0,5.0
D03220035,5.5,6.6,6.0,5.0,4.0,4.0
D03220355,5.5,6.0,5.0,5.0,5.0,4.0
D03220356,5.5,6.0,6.0,4.0,4.0,4.0
D03220871,5.5,5.5,6.0,5.0,5.0,5.0
D03220872,5.5,5.5,6.0,5.0,5.0,5.0
D03221001,6.0,6.25,6.0,4.666666666666667,5.0,4.0
D03221016,6.0,6.0,6.0,5.0,3.0,3.0
D03221017,6.0,6.5,6.0,5.0,3.0,4.0
D03221169,6.0,6.5,6.0,5.0,3.0,4.0
D03221170,5.5,5.5,6.5,5.0,3.0,3.0
D03221229,5.0,5.0,5.5,4.5,3.5,4.0
D03221231,6.0,6.0,7.0,5.0,3.0,5.0
D03221237,6.0,5.5,6.0,4.0,4.0,5.0
D03221241,6.0,6.0,6.0,5.0,3.0,4.5
D03221244,6.0,6.0,6.5,4.5,3.0,5.0
D03221245,6.5,6.0,7.0,5.0,2.0,4.5
D03221246,6.5,5.0,6.0,5.0,4.0,4.5
D03221247,6.0,6.0,6.5,4.5,3.0,5.0
D03221248,6.0,6.0,6.5,4.5,3.0,5.0
D03221249,6.0,6.0,6.0,5.5,3.0,5.0
D03221256,6.0,6.0,6.0,5.0,3.5,4.5
D03221257,6.0,5.5,5.5,5.0,3.0,4.0
D03221258,6.0,6.0,6.5,5.0,3.5,5.0
D03221259,6.0,5.5,6.0,5.0,3.5,4.5
D03221260,6.0,5.5,5.5,5.0,3.0,4.5
D03221261,6.0,5.5,7.0,5.0,3.0,4.5
D03221306,6.5,6.5,6.0,5.0,3.0,4.5
D03221307,6.0,5.5,6.0,6.0,3.0,4.5
D03221313,5.0,6.0,6.0,5.0,3.0,4.0
D03221314,6.0,6.0,7.0,4.0,3.0,5.0
D03221315,6.0,5.5,6.0,5.0,3.0,5.0
D03221316,6.0,5.5,6.0,5.0,3.0,5.0
D03221317,7.0,6.0,7.0,4.0,3.0,5.0
D03221318,6.0,5.5,6.0,4.0,4.0,5.0
D03221323,8.0,6.0,6.0,5.0,3.0,4.0
D03221331,6.5,6.0,6.0,5.0,3.0,5.0
D03221431,6.0,6.0,6.0,4.0,4.0,5.0
D03221432,6.0,5.5,6.0,4.0,4.0,5.0
D03221433,6.0,5.5,6.5,5.0,5.0,5.0
D03221435,6.0,6.0,7.0,5.333333333333333,4.333333333333333,5.5
D03221436,6.0,6.0,6.0,5.0,5.0,5.5
D03221437,5.5,5.5,6.0,5.0,3.5,5.0
D03221438,6.5,6.0,6.0,5.0,5.0,5.0
D03221439,6.0,6.5,6.0,5.0,3.0,5.5
D03221440,6.0,6.5,6.0,5.0,6.0,5.5
D03221446,5.0,6.5,6.0,5.0,5.0,5.0
D03221447,6.0,6.0,6.0,5.0,3.0,5.5
D03221448,5.0,6.0,6.0,5.0,6.0,5.5
D03221455,5.0,6.5,6.0,5.0,5.0,5.0
D03221456,6.0,6.0,7.0,5.0,5.0,5.0
D03221459,7.0,6.0,6.0,5.0,6.0,4.0
D03221460,6.0,6.0,7.0,5.0,6.0,4.0
D03221461,6.0,6.0,6.0,6.0,3.0,5.0
D03221463,6.0,6.0,6.0,5.0,3.0,5.5
D03221464,6.0,7.0,6.0,5.0,6.0,5.5
D03221465,6.0,6.0,6.0,5.0,6.0,5.5
D03221524,5.0,6.0,6.0,4.0,6.0,5.666666666666667
D03221527,6.0,6.0,6.0,5.0,4.0,4.0
D03221577,5.5,6.0,6.0,5.0,4.0,5.0
D03221578,6.0,6.0,6.0,4.5,4.0,5.0
D03221579,6.0,6.0,6.5,4.0,6.0,5.0
D03221581,6.0,6.0,6.0,5.0,3.0,5.0
D03221893,6.0,6.5,7.0,5.0,5.0,5.0
D03221894,5.5,6.0,7.0,5.0,4.0,5.0
D03222228,5.5,6.0,6.0,5.0,4.5,5.0
D03222229,6.0,6.0,7.0,5.0,5.0,5.0
D03222230,5.5,6.0,7.0,6.0,5.0,5.0
D03222231,6.0,5.5,7.0,4.5,4.0,4.5
D03222232,5.5,6.0,6.0,5.0,4.0,5.5
D03222577,6.0,5.5,6.0,6.0,3.0,5.5
D03222578,5.5,6.5,6.0,4.0,3.0,4.0
D03222600,6.0,6.0,6.0,6.0,4.0,5.0
D03222601,6.0,6.5,6.0,5.0,4.0,6.0
D03222770,6.0,4.5,6.0,4.0,3.0,4.0
D03222771,6.0,6.0,7.0,5.0,5.0,5.0
D03222772,6.0,7.0,6.0,4.5,5.0,5.0
D03222774,6.0,5.0,6.0,5.0,3.0,3.0
D03222910,6.0,6.5,6.0,4.666666666666667,4.0,4.0
D03222911,8.0,6.0,6.0,5.333333333333333,5.0,6.0
D03222956,6.0,6.0,6.5,6.0,3.0,5.0
D03222972,5.0,6.0,6.0,4.0,2.0,5.0
D03223070,5.5,5.5,6.0,6.0,6.0,4.5
D03223198,5.5,5.5,6.0,4.0,6.0,4.5
D03223199,5.5,6.0,6.0,4.0,5.0,4.0
D03223262,5.5,5.0,7.0,6.0,5.0,4.5
D03223263,5.5,6.5,8.0,5.0,6.0,5.0
D03223279,6.0,6.0,6.0,5.0,6.0,4.5
D03223280,6.0,6.5,6.0,5.0,5.0,4.5
D03223281,6.0,6.333333333333333,6.333333333333333,4.25,4.5,4.333333333333333
D03223282,5.0,6.5,6.0,5.0,5.25,5.0
D03223289,5.5,5.5,7.0,6.0,5.0,5.5
D03223291,5.5,6.0,6.0,5.0,5.5,5.0
D03223294,6.0,6.0,7.0,5.0,5.0,5.0
D03230029,6.0,5.5,6.5,4.0,1.0,6.0
D03230030,5.5,5.0,6.0,5.0,1.0,6.0
D03230447,6.5,6.0,6.0,5.0,4.0,5.0
