,132,135,154,155,160,179
D01211557,3.0,1.5,1.0,3.0,3.0,1.5
D01220257,3.5,4.0,2.5,2.5,3.0,4.0
D01220258,2.5,0.0,2.5,2.5,3.0,4.0
D01220924,3.0,2.0,2.5,4.0,2.0,2.0
D01220946,1.0,0.5,0.0,2.0,1.5,1.0
D01220947,1.5,1.0,2.5,3.5,1.0,2.5
D01220948,3.0,1.5,2.5,2.0,2.0,2.5
D01221083,3.0,1.0,2.5,3.0,3.0,4.5
D01221084,4.0,2.5,3.0,5.0,3.5,4.0
D01221085,2.5,3.0,3.0,5.0,1.5,4.0
D01221086,3.0,1.5,2.0,2.5,2.5,3.0
D01221088,4.0,2.0,3.0,4.0,3.0,4.0
D01221089,3.5,1.5,3.0,4.0,3.0,4.0
D01221090,4.0,3.0,3.0,3.0,2.5,3.0
D01221091,4.0,3.0,3.0,4.0,3.0,3.0
D01221092,3.0,2.0,4.0,4.0,2.5,4.5
D01221093,1.0,2.0,2.0,1.0,2.5,4.0
D01221094,2.5,2.5,3.5,3.5,2.5,3.5
D01221098,3.0,0.0,0.0,1.0,2.0,3.5
D01221100,2.5,2.0,2.0,4.0,3.5,3.0
D01221101,3.5,2.0,0.0,4.0,3.0,2.0
D01221103,2.5,0.0,0.0,2.0,2.0,2.0
D01221105,1.5,0.0,0.0,1.0,0.5,2.0
D01221107,2.5,3.0,3.0,4.0,1.5,3.0
D01221128,4.0,3.0,2.5,4.5,2.5,3.0
D01221129,3.0,4.0,4.0,4.0,2.5,3.5
D01221130,2.5,3.0,2.5,3.5,2.0,3.0
D01221139,2.0,3.0,3.0,4.0,3.0,3.0
D01221140,4.0,0.0,0.0,4.0,2.0,2.5
D01221670,3.0,2.0,2.0,4.0,3.5,3.5
D01221695,2.5,2.0,2.0,3.0,1.5,3.0
D01221784,2.5,2.5,1.0,2.5,2.0,4.0
D01221848,2.0,1.0,1.0,2.5,2.0,3.5
D01221946,0.0,0.0,0.0,1.0,1.0,2.5
D01221978,2.0,0.0,0.0,1.0,0.0,2.0
D01222041,3.0,4.0,3.0,4.0,2.0,3.0
D01222198,2.0,0.0,2.0,3.0,2.5,2.0
D01222283,1.5,3.0,0.0,5.0,1.0,4.0
D01222308,4.0,1.5,2.5,4.0,2.0,3.0
D01222310,2.5,1.5,0.0,1.0,1.0,2.0
D01222455,2.0,0.3333333333333333,2.3333333333333335,3.0,1.0,2.5
D01222456,3.0,2.0,1.5,2.0,1.5,3.5
D01222457,3.5,2.0,3.0,4.0,2.5,4.0
D01222518,3.5,2.0,3.0,3.5,3.5,3.0
D01222520,2.5,1.5,2.0,2.5,2.0,3.5
D01222525,4.0,1.5,3.0,2.0,2.0,3.0
D01222526,3.0,2.0,2.0,3.5,3.5,3.5
D01222527,2.5,1.0,2.5,2.0,1.5,4.0
D01222528,2.0,0.5,1.5,3.0,2.5,4.0
D01222685,2.0,1.5,0.0,2.0,2.0,2.0
D01222878,3.5,1.5,3.0,4.5,3.5,3.5
D01230195,2.5,1.0,2.5,2.5,2.5,4.0
D01230196,2.5,1.0,2.5,2.5,2.5,4.0
D01230782,2.5,1.0,2.5,2.5,2.5,4.0
