,132,135,154,155,160,179
D01211557,4.5,6.0,4.0,4.0,2.0,2.5
D01220257,3.5,3.0,4.0,5.5,3.0,4.0
D01220258,4.5,6.5,4.0,5.5,2.25,4.0
D01220924,5.0,6.5,2.5,3.0,2.5,1.0
D01220946,7.0,6.5,6.0,7.0,6.0,5.0
D01220947,6.0,6.5,6.0,6.0,4.5,4.0
D01220948,6.0,6.0,6.0,6.0,4.0,3.0
D01221083,2.0,6.0,3.0,4.0,3.0,2.5
D01221084,3.0,5.5,0.0,3.0,1.5,2.0
D01221085,3.5,6.0,0.0,3.0,3.0,3.0
D01221086,6.0,6.5,6.0,7.0,3.0,3.5
D01221088,4.0,6.0,2.0,4.0,2.5,1.5
D01221089,4.0,4.5,3.0,4.0,1.5,2.5
D01221090,5.0,6.0,4.0,5.0,3.5,2.5
D01221091,4.0,6.0,4.0,4.0,2.5,2.5
D01221092,3.5,6.0,3.0,4.0,3.0,2.5
D01221093,5.0,6.5,5.0,5.0,1.5,2.5
D01221094,7.0,6.5,7.0,7.0,3.0,2.0
D01221098,4.0,6.5,6.0,6.0,3.0,3.0
D01221100,4.0,5.5,3.0,3.0,2.0,2.0
D01221101,3.0,5.5,5.5,5.0,1.5,2.5
D01221103,5.0,6.0,5.0,5.0,3.0,3.5
D01221105,5.0,5.0,5.0,6.0,3.5,3.0
D01221107,3.5,6.0,5.0,6.0,3.0,2.0
D01221128,3.5,6.0,1.5,3.0,1.5,2.0
D01221129,4.0,5.5,0.0,3.0,2.0,2.5
D01221130,4.0,4.0,3.5,5.5,3.0,4.0
D01221139,4.5,6.0,5.0,6.0,3.0,3.0
D01221140,4.0,5.5,6.0,5.0,3.5,3.0
D01221670,6.0,6.0,7.0,6.0,3.5,2.5
D01221695,5.5,6.5,6.0,6.0,3.5,3.5
D01221784,6.0,7.0,7.0,6.0,5.0,5.0
D01221848,5.0,7.0,8.0,7.0,5.0,4.5
D01221946,5.0,6.5,6.0,6.0,5.5,3.5
D01221978,5.5,6.5,5.0,6.0,4.5,6.0
D01222041,4.0,6.0,1.0,2.0,4.0,1.0
D01222198,5.0,6.5,3.0,5.0,5.0,2.0
D01222283,6.0,5.5,5.0,6.0,4.5,1.0
D01222308,3.0,6.0,1.0,3.0,3.0,1.25
