,132,135,154,155,160,179
D01211557,6.0,6.5,5.0,6.0,7.0,5.5
D01220257,5.0,6.0,5.0,4.0,5.0,4.5
D01220258,4.0,5.5,5.0,4.0,5.0,4.5
D01220924,6.0,7.0,5.0,5.0,5.5,4.5
D01220946,0.0,0.0,0.0,1.5,3.0,4.0
D01220947,0.0,0.0,0.0,0.0,5.5,4.0
D01220948,0.0,0.0,0.0,0.0,5.5,4.5
D01221083,6.5,7.0,5.0,5.5,6.0,5.0
D01221084,6.0,6.5,6.0,6.0,5.0,5.0
D01221085,6.0,7.0,6.0,6.0,7.0,5.0
D01221086,5.0,5.5,5.0,4.0,4.5,4.0
D01221088,6.0,6.5,6.0,6.0,6.0,5.0
D01221089,6.5,6.5,6.0,6.0,7.0,4.0
D01221090,6.0,7.0,6.0,6.0,6.0,4.5
D01221091,4.0,5.5,6.0,5.5,6.5,4.5
D01221092,6.0,6.5,5.0,6.0,7.0,5.0
D01221093,5.5,6.0,5.5,5.5,6.5,4.0
D01221094,6.0,6.0,5.5,5.0,6.0,5.0
D01221098,5.0,7.0,5.0,5.0,6.5,4.5
D01221100,5.5,6.0,0.0,6.0,5.5,5.0
D01221101,5.5,5.0,5.5,6.0,5.5,4.5
D01221103,5.5,7.0,5.0,5.0,6.0,4.0
D01221105,5.5,6.5,5.0,6.0,6.5,4.0
D01221107,5.5,6.0,6.0,6.0,6.0,4.5
D01221128,5.5,6.5,6.0,6.0,6.5,4.5
D01221129,5.5,7.0,6.0,7.0,6.5,5.0
D01221130,5.0,4.0,5.0,4.0,4.0,4.0
D01221139,4.5,5.5,6.0,6.0,4.5,3.5
D01221140,5.5,5.0,5.0,4.5,6.0,4.0
D01221670,0.0,0.0,0.0,0.0,4.0,3.5
D01221695,4.0,5.5,5.0,4.0,4.0,3.5
D01221784,4.0,5.0,5.0,4.0,5.0,4.0
D01221848,4.0,5.0,5.0,4.0,4.0,4.5
D01221946,5.0,2.75,5.0,4.0,5.0,3.0
D01221978,5.0,5.5,5.0,4.0,5.5,4.0
D01222041,4.5,7.0,7.0,6.0,4.0,6.0
D01222198,4.0,5.5,5.0,0.0,5.0,4.0
D01222283,3.5,5.0,5.0,4.0,4.0,4.0
D01222308,4.0,5.25,5.0,4.0,6.5,4.0
D01222310,4.0,6.0,6.0,6.0,5.0,5.0
D01222455,4.666666666666667,5.5,5.0,4.0,5.0,4.166666666666667
D01222456,4.0,5.333333333333333,4.75,4.0,4.5,4.0
D01222457,6.0,5.5,5.0,4.0,6.0,4.0
D01222518,0.0,6.0,0.0,3.0,5.0,0.0
D01222520,2.75,3.0,0.0,4.0,5.0,0.0
D01222525,0.0,5.0,0.0,3.0,5.0,0.0
D01222526,0.0,1.0,0.0,4.0,0.0,0.0
D01222527,0.0,0.0,0.0,0.0,0.0,0.0
D01222528,0.0,4.0,0.0,4.0,0.0,0.0
D01222685,4.0,3.5,5.0,4.0,5.0,4.0
D01222878,5.5,6.0,5.0,4.0,4.0,3.0
D01230195,4.0,4.5,5.0,4.0,5.0,3.0
D01230196,4.0,4.5,5.0,4.0,5.0,3.6666666666666665
D01230782,5.0,5.166666666666667,5.0,4.0,5.25,3.6666666666666665
D01230783,5.0,5.166666666666667,5.0,3.5,5.75,3.0
D01230884,4.5,6.0,5.0,4.0,5.0,4.0
D01230886,4.0,6.0,4.0,3.0,5.0,4.0
D01240983,3.0,6.5,4.0,4.0,7.0,5.0
D01241097,4.0,5.0,4.5,3.0,5.0,4.0
D01241098,4.0,7.0,4.5,5.0,5.5,6.0
D01241468,3.5,4.5,4.0,5.0,5.5,6.0
D01241469,3.5,4.0,3.0,4.5,4.5,6.0
D01241470,4.5,5.5,5.0,5.0,5.0,6.0
D01241516,2.5,4.5,4.0,3.0,2.0,3.0
D01242205,3.0,4.0,4.0,3.0,5.5,4.0
D01242488,4.0,5.0,5.0,3.5,1.5,4.0
D01242630,3.0,6.5,2.0,5.0,0.0,4.0
D01242631,1.5,6.5,3.0,5.0,0.0,4.0
D02220126,4.5,5.5,5.0,4.0,4.0,4.0
D02220226,4.5,5.5,5.0,4.0,5.0,4.0
D02220227,4.0,5.5,5.0,4.0,5.0,4.5
D02220443,4.0,6.0,5.0,4.0,5.0,4.0
D02220463,5.0,7.0,5.0,6.0,6.0,5.0
D02220464,5.0,7.0,5.0,5.0,6.5,4.5
D02220465,4.0,7.0,5.0,6.0,6.5,3.0
D02220808,4.0,6.0,5.0,4.0,6.0,4.0
D02221005,1.5,3.0,0.0,0.0,0.0,3.5
D02221006,1.5,3.0,0.0,0.0,3.0,3.5
D02221007,1.5,3.0,0.0,0.0,0.0,3.5
D02221023,5.0,6.5,5.0,5.0,6.0,4.0
D02221079,5.0,6.5,5.0,6.0,4.0,5.0
D02221134,4.0,5.5,5.0,4.0,4.0,4.0
D02221135,4.0,5.5,5.0,4.0,6.5,4.5
D02221181,4.0,5.0,5.0,5.0,5.0,4.5
D02221182,4.0,5.5,5.0,6.0,5.0,5.5
D02221183,4.0,6.0,5.0,4.5,5.0,5.5
D02221187,4.75,6.5,5.5,5.0,5.0,4.0
D02221188,4.5,6.0,5.0,5.0,5.0,5.0
D02221509,6.0,6.5,5.0,3.5,6.5,4.0
D02221510,6.0,7.0,6.0,7.0,7.0,4.5
D02221511,6.0,7.0,6.0,7.0,6.5,4.0
D02221512,5.5,6.5,7.0,6.0,7.5,4.0
D02221513,6.0,6.5,5.0,6.0,6.0,4.0
D02221515,5.0,3.5,5.0,6.0,7.0,3.5
D02221516,5.5,6.5,5.0,5.0,6.0,4.5
D02221517,6.0,6.0,5.0,6.0,5.5,4.0
D02221518,4.0,5.5,5.0,5.0,5.0,4.0
D02221519,4.0,5.5,5.0,5.5,4.5,4.5
D02221522,6.0,6.5,5.5,6.0,6.0,4.5
D02221523,6.0,6.5,5.0,6.0,6.5,5.5
D02221524,6.0,6.5,5.0,6.0,5.5,4.5
D02221531,5.0,6.5,5.0,5.5,6.0,5.0
D02221532,5.5,6.0,5.5,6.0,6.0,4.5
D02221533,6.0,6.5,6.0,6.0,7.0,4.5
D02221719,4.0,5.0,4.0,5.0,6.0,4.0
