,humedad_determinador_halogeno,grasa_nmr,granulometria_micrometro,viscosidad_plastica_anton_paar,limite_de_fluidez_anton_paar
D01211557,0.43,41.4768061009935,25.45522698508066,1.3875758907055622,7.747798005709214
D01220257,0.24441588933121736,38.751246878457415,25.688023806559094,1.8760160206291223,10.992282729667355
D01220258,0.24441588933121736,38.751246878457415,25.688023806559094,1.8760160206291223,10.992282729667355
D01220924,0.14,37.918,25.729318034838485,2.028609166056428,12.10057894685118
D01220946,0.2,35.1251,27.572950260973556,1.4457,0.5189
D01220947,0.35,39.341,24.674390658233733,0.7911,6.706
D01220948,0.18,39.5975,24.285463078547334,1.0297,10.006
D01221083,0.14,37.21771728688904,25.819020931245063,2.1508386255150507,12.817781571162904
D01221084,0.16,37.51144754993072,25.793931693578553,2.098199816217846,12.468127532166108
D01221085,0.12,36.92398702384735,25.844110168911577,2.2034774348122577,13.167435610159714
D01221086,0.17,28.2654,24.0,6.8928,51.611
D01221088,0.18,37.80517781297241,25.768842455912043,2.0455610069206394,12.118473493169297
D01221089,0.28,39.27382912818085,25.64339626757949,1.782366960434608,10.370203298185253
D01221090,0.22,38.392638339055786,25.718663980579024,1.9402833883262276,11.419165415175687
D01221091,0.19,37.95204294449326,25.756297837078787,2.0192416022720354,11.943646473670888
D01221092,0.14,37.21771728688904,25.819020931245063,2.1508386255150507,12.817781571162904
D01221093,0.29,39.42069425970169,25.630851648746237,1.7560475557860054,10.195376278686858
D01221094,0.34,40.15501991730591,25.568128554579957,1.6244505325429897,9.32124118119484
D01221098,0.57,43.53291794228531,25.279602321415087,1.0191042256251173,5.300219732731549
D01221100,0.26,43.0261,21.0,0.9649263593111588,8.954903765062099
D01221101,0.29,42.7702,21.0,1.005455625993449,9.173128917904311
D01221103,0.1,37.40094122370409,26.228740635495978,1.9391,9.4095
D01221105,0.23,39.70540876196803,24.09786732104535,1.2047,12.1577
D01221107,0.3,42.7267,22.0,1.0514813266700784,8.627290617674408
D01221128,0.25,40.8338,22.0,1.3767879058959132,10.80827777324243
D01221129,0.21,41.2136,23.0,1.3558068384015987,9.902241718079882
D01221130,0.19,39.9556,22.0,1.5311648068122716,11.89684561175794
D01221139,0.17,39.2297,22.0,1.655992681901438,12.734944022770982
D01221140,0.19,41.2986,25.0,1.4224779768501703,8.705233549321054
D01221670,0.27,42.5578,79.0,3.339872757635452,-23.769897755133236
D01221695,0.16,32.8122,20.0,1.7214,18.828
D01221784,0.24,36.2564,22.0,1.7982,14.231
D01221848,0.19,35.0511,22.0,2.2875,13.739
D01221946,0.28,41.0745,25.0,1.7129,2.1108
D01221978,0.29,36.1987,24.0,1.413,10.31
D01222041,0.28,48.427,24.47292881608569,0.18556126354832614,0.9978085942110511
D01222198,0.31,32.9007,24.0,1.7866,14.738
D01222283,0.19,40.3796,25.0,2.0953,5.0631
D01222308,0.3,43.5521,25.108945743532054,1.0346507476851694,5.940626562145098
D01222310,0.19,37.64287188295438,25.22669057936807,2.1058,14.8709
D01222455,0.19,32.8105,17.0,2.543407898294851,22.599586240535594
D01222456,0.18,35.868,18.0,2.0660687665428483,18.693219059204495
D01222457,0.25,40.5257,22.0,1.4289732708613494,11.146305176284152
