,132,135,154,155,160,179
D01211557,5.5,5.5,7.0,5.5,4.0,5.5
D01220257,7.0,6.5,7.0,7.0,8.0,6.5
D01220258,5.5,6.5,7.0,7.0,7.75,6.5
D01220924,7.0,5.5,6.5,7.0,8.0,7.0
D01220946,6.0,5.5,6.0,6.0,8.0,6.0
D01220947,6.0,5.5,8.0,7.0,7.5,6.0
D01220948,6.0,6.0,7.0,7.0,5.5,4.5
D01221083,5.0,6.5,7.0,7.0,8.0,4.5
D01221084,6.0,5.5,6.0,6.0,7.0,5.0
D01221085,6.5,5.0,6.0,6.0,7.0,5.0
D01221086,6.0,5.5,8.0,7.0,8.0,7.0
D01221088,5.0,5.5,7.0,6.0,7.0,5.0
D01221089,7.0,5.0,6.0,5.0,6.0,5.0
D01221090,4.0,6.0,6.0,6.5,8.0,5.5
D01221091,5.0,5.0,4.0,5.5,6.5,6.0
D01221092,6.0,6.0,6.0,7.0,7.5,4.5
D01221093,5.0,6.5,6.0,6.0,6.5,5.5
D01221094,8.0,6.5,6.0,5.0,7.0,5.0
D01221098,6.5,5.5,7.0,7.0,7.0,4.0
D01221100,6.0,5.5,6.5,6.0,5.0,7.0
D01221101,6.0,4.5,5.5,5.0,5.0,6.25
D01221103,6.5,5.0,6.0,7.0,7.5,6.0
D01221105,7.0,5.0,7.0,6.0,6.5,7.0
D01221107,6.5,5.0,6.0,5.0,7.5,6.0
D01221128,7.0,5.5,6.0,5.5,7.0,7.0
D01221129,6.5,6.5,6.0,5.0,7.0,5.0
D01221130,6.0,4.0,6.5,6.5,4.0,4.0
D01221139,6.5,5.0,5.0,5.0,6.0,6.0
D01221140,6.5,4.5,6.0,6.5,7.5,6.75
D01221670,4.0,5.0,6.0,6.0,7.0,5.0
D01221695,6.5,7.0,8.0,8.0,8.0,6.5
D01221784,8.0,6.0,8.0,7.5,8.0,7.0
D01221848,8.0,6.5,8.0,8.0,8.0,6.0
D01221946,4.0,6.25,8.0,7.0,6.5,6.0
D01221978,5.5,6.5,7.0,8.0,8.0,7.0
D01222041,7.0,5.5,6.0,6.0,8.0,6.0
D01222198,7.0,6.0,7.0,8.0,8.5,7.0
D01222283,5.5,5.0,7.0,7.0,6.0,7.0
D01222308,7.0,6.0,7.5,7.5,7.0,7.0
D01222310,7.0,6.0,6.0,7.0,7.0,6.5
D01222455,7.666666666666667,6.166666666666667,7.25,8.0,8.0,6.666666666666667
D01222456,7.666666666666667,5.666666666666667,7.75,8.0,8.0,7.0
D01222457,6.0,5.0,7.0,7.0,6.5,7.0
D01222518,5.0,5.0,6.0,5.0,8.0,6.0
D01222520,6.0,6.5,6.0,6.0,8.0,7.0
D01222525,5.0,6.5,7.0,6.0,8.0,7.0
D01222526,4.0,5.5,6.0,6.0,8.0,6.0
D01222527,5.0,7.0,7.0,6.0,8.0,7.0
D01222528,5.0,6.6,6.0,6.0,8.0,7.0
D01222685,7.0,6.0,7.0,7.0,8.0,7.0
D01222878,6.5,5.5,7.0,7.0,8.0,7.0
D01230195,6.5,5.5,7.0,7.0,9.0,7.0
D01230196,6.5,5.5,7.0,7.0,8.666666666666666,7.0
D01230782,6.0,5.833333333333333,7.0,7.0,9.0,7.0
D01230783,6.0,5.833333333333333,7.0,7.0,9.0,7.0
D01230884,7.0,6.0,7.0,7.0,8.0,6.0
D01230886,6.0,6.0,7.5,7.0,9.0,7.0
D01240983,7.0,5.0,7.0,7.0,7.0,5.0
D01241097,6.5,5.0,7.0,7.0,8.5,6.0
D01241098,7.0,5.0,7.5,6.0,8.0,4.0
D01241468,6.0,5.5,7.0,6.0,8.0,4.0
D01241469,6.5,5.0,6.5,6.5,8.0,5.0
D01241470,6.5,6.0,7.0,6.0,8.0,3.0
D01241516,6.5,5.5,7.5,7.0,6.0,7.0
D01242205,6.5,6.0,7.0,7.0,9.0,7.0
D01242488,6.5,6.0,7.0,7.0,8.0,6.0
D01242630,5.5,6.0,7.0,7.0,9.0,6.0
D01242631,6.0,5.5,7.0,7.0,7.0,5.0
D02220126,6.5,6.0,7.0,7.0,8.0,7.0
D02220226,6.0,6.5,8.0,7.0,8.0,7.0
D02220227,7.0,6.5,7.0,7.0,8.0,6.0
D02220443,6.0,6.25,8.0,7.0,8.0,7.0
D02220463,7.0,5.5,7.0,6.0,7.5,5.5
D02220464,7.5,5.0,7.0,7.0,7.0,6.5
D02220465,6.0,5.5,7.5,6.5,7.25,6.0
D02220808,6.5,6.5,7.0,7.0,8.0,7.0
D02221005,6.5,6.0,7.0,6.0,7.0,6.0
D02221006,6.0,6.0,8.0,6.0,8.0,6.0
D02221007,6.5,6.0,7.0,5.5,7.0,6.0
D02221023,7.0,6.0,7.0,7.0,8.0,6.5
D02221079,6.5,5.5,7.0,6.5,6.5,6.0
D02221134,7.0,4.5,7.0,7.0,6.5,7.0
D02221135,6.0,6.0,7.0,7.0,7.0,7.0
D02221181,6.0,6.5,8.0,7.0,8.0,6.0
D02221182,6.0,6.5,7.0,6.5,8.0,6.0
D02221183,7.0,6.5,8.0,6.5,8.0,6.0
D02221187,5.5,5.5,6.5,7.0,8.0,6.0
D02221188,6.5,6.5,7.0,6.0,8.0,6.5
D02221509,5.0,6.0,7.0,7.0,7.5,6.0
D02221510,6.0,5.5,5.0,6.0,6.5,6.5
D02221511,6.0,5.5,5.0,6.0,6.5,6.0
D02221512,6.0,5.5,5.0,6.0,4.0,6.0
D02221513,5.0,5.5,6.0,6.0,8.0,6.0
D02221515,6.0,6.0,6.0,5.0,5.0,6.5
D02221516,6.0,0.0,6.0,7.0,8.0,6.0
D02221517,6.0,5.5,5.0,6.0,5.0,6.0
D02221518,7.0,6.5,8.0,6.5,8.0,6.0
D02221519,6.0,6.5,8.0,6.0,8.0,6.0
D02221522,5.0,5.0,6.0,6.0,6.5,6.0
D02221523,6.0,6.0,6.0,6.0,7.0,6.0
D02221524,5.0,5.0,7.0,6.0,8.0,6.0
D02221531,5.0,5.0,5.0,7.0,8.0,5.0
D02221532,8.0,5.5,6.0,7.0,8.0,5.5
D02221533,7.0,6.0,7.0,6.0,5.0,6.0
D02221719,6.0,6.0,7.0,6.5,6.5,6.0
D02221720,5.0,5.0,6.0,7.0,8.0,6.0
D02221721,5.0,6.0,7.0,7.0,8.0,6.5
D02221722,7.0,6.5,7.0,7.0,8.5,7.0
D02221743,7.0,4.5,6.0,5.0,7.0,6.5
D02221744,7.0,6.0,8.0,6.0,7.0,6.0
D02221745,6.0,5.5,7.0,7.0,7.0,5.5
D02221746,7.0,5.5,7.0,6.0,6.5,5.0
D02221747,7.0,6.0,7.0,7.0,7.0,7.0
D02221748,7.0,5.5,7.0,7.0,8.0,7.0
D02221765,7.0,5.0,6.0,6.0,4.0,4.5
D02221766,6.0,5.5,6.5,6.0,7.5,4.0
D02221774,7.0,6.0,8.0,6.0,7.0,5.5
D02221775,7.0,4.5,7.0,6.0,8.0,6.0
D02221776,7.0,5.5,6.5,7.0,7.0,5.5
D02221777,6.0,5.5,6.0,7.0,7.0,7.0
D02221778,6.5,5.5,6.0,7.0,8.0,6.5
D02221785,6.5,5.5,6.0,6.0,7.0,7.0
D02221786,6.5,6.0,5.0,4.0,7.0,5.5
D02221787,5.5,5.5,7.0,4.0,6.0,5.5
D02221788,6.0,6.0,6.0,4.0,6.0,6.0
D02221810,7.0,6.0,6.5,7.0,8.0,7.0
D02221811,6.0,6.0,7.5,7.0,8.0,7.0
D02221871,7.0,6.0,7.0,7.0,7.5,7.0
D02222044,7.0,4.5,6.0,7.0,7.0,6.0
D02222097,6.5,6.0,7.0,7.0,8.0,7.0
D02222098,6.5,5.5,7.0,7.0,8.0,7.0
D02222212,5.0,6.0,7.0,6.0,8.0,7.0
D02222213,7.0,6.0,7.0,7.0,9.0,7.0
D02222327,7.0,6.0,6.666666666666667,7.0,5.333333333333333,6.5
D02222328,6.0,6.0,7.0,8.0,8.0,7.25
D02222417,4.0,6.0,7.0,6.5,7.0,3.0
D02222467,7.0,6.0,6.0,6.0,8.5,5.0
D02222470,7.0,5.5,6.0,6.0,7.0,7.0
D02222471,6.5,5.5,6.0,6.0,6.5,6.0
D02222472,7.0,6.5,7.0,6.0,7.0,6.5
D02231516,7.0,6.5,7.0,7.0,9.0,8.0
D02231517,6.0,5.5,7.0,6.5,9.0,7.0
D02231518,7.0,5.5,7.5,7.0,9.0,7.0
D02231519,7.0,4.5,7.0,6.5,9.0,6.5
D02231520,7.0,6.0,7.0,7.0,9.0,6.0
D02231521,5.0,5.5,7.5,7.0,9.0,7.0
D02231522,6.0,5.5,6.5,6.5,9.0,4.5
D02231523,5.0,6.0,7.0,6.5,9.0,5.5
D02231524,6.0,6.0,7.0,7.0,9.0,5.0
D02231525,6.0,5.5,6.5,7.0,9.0,6.0
D02231639,6.0,6.0,7.0,8.0,9.0,6.5
D02231640,6.0,6.0,7.0,7.0,9.0,6.5
D02232675,6.0,5.5,7.0,7.0,9.0,6.0
D02232676,6.0,5.5,7.0,6.0,7.0,2.0
D02240213,6.5,6.0,7.0,7.0,9.0,7.0
D02240214,6.5,6.0,7.0,7.0,8.0,6.5
D02240215,6.5,5.5,7.0,7.0,9.0,7.0
D02240445,7.0,4.5,6.5,7.0,7.5,5.5
D02240798,6.5,6.0,7.0,7.0,8.0,7.0
D02241112,6.5,5.0,7.5,7.0,8.0,7.0
D02241846,7.0,6.0,7.5,5.0,8.5,7.0
