idx,2000020,2000021,2000023,2000025,2000027,2000026,2000036,2000037,2000038,2000039,2000040,2000051,2000052,2000054,2000072,2000075,2000211,2000273,2000274,2000504,2000672,2000732,2000794,2000797,2001187,4100006,4100007,4100012,4100105,4100106,4100107,4100109,4100642,4100643,4100646,4100647,4100649,4100653,4100658,4100671,4100684,4100689,4100697,4100713,4100723,4100759,4100760,4100764,4100766,4100768,4100769,4100775,4100779,4100782,4100793,4100794,4100799,4100810,4100811,4100812,4100813,4100830,4100833,4101000,4101005,4101248,4101253,4101345,4101346,4101347,4101374,4101441,4101764,4101774,4101920
PNM150,,,,,,68.5,,16.7,,,,,,,,,,,,,,,,,,14.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.2,,,,,,,,,,,,,
PNM63,,,,60.0,,,,,,10.0,,,,,,,,,,,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
PNM146,,,,,,,,,,,,,7.0,,,,,,,,,,,,,49.2,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,30.25,0.5,,,,,,,,
PNM128,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,,,,10.0,8.0,,,,28.0,,,,,,,,,,,,0.05,,,,,0.05,,,,,,,,,0.5,,,,,,,,,,,,,
PNM96,,,,75.0,,,,10.0,,,,,,,,,,,,,,,,,,14.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.2,,,,,,,,,,,,,
PNM160,,,,,,42.5,,12.0,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
PNM67,,,,,,,,,,,,,,,,,,,,,,,,,,,49.05,,,,10.0,8.0,12.0,20.0,,,,,,,,,,,,0.1,,,,,,,,,0.05,,0.4,,,,,0.4,,,,,,,,,,,,,
PNM195,,,,,,,,,,,,,,,,,,,,,,3.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
PNM1,,,,,,,,,,,,,12.3,,,,,,,,,,,,,27.1,,,,,,,,,,,,,,,,,,0.15,,,0.05,,,,,0.15,,,,,,,,,,0.25,,,,,,,,,,,,60.0,
